TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
s-syklinensitrullinoitupeptidi,vasta-aineet	NA	114	113	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-samenat	NA	331	251	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-samesup	NA	133	112	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
monosyytit,absol.arvot	e9/l	660	472	0	[ 0.09, 0.39, 0.44, 0.5, 0.546, 0.6, 0.65, 0.73, 0.82, 0.92, 1.8,  ]	NA
b-crp-ospkl	NA	721	401	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-kol	NA	7	7	NA	NA	NA
u-sakka,epit	NA	1243	605	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
b-tntsaa-kar	NA	35	25	NA	NA	NA
b-hnpcy-d	NA	162	157	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-kemiallinenseulontamedipoctku,jkl	NA	32	29	NA	NA	NA
-tunnetundna-mutaationtutkimusverestä	NA	12	12	NA	NA	NA
p-albumiini	g/l	1006	764	0	[ 14, 32, 34, 36, 37, 37, 38, 39, 40, 42, 49,  ]	[ 31][  0, 29,  0,  0, 40,  0,  0]
p-alkalinenfosfataasi	u/l	2619	1583	0	[ 18, 50, 57, 63, 69, 75, 81, 89.5999999999999, 102, 125, 1556,  ]	[ 55][  0, 19,  0,  0, 26,  0,  0]
fs-pepsin2	ug/l	223	220	0	[ 2.4, 5.72, 7.04, 8.1, 8.68, 9.4, 10.32, 11.38, 13.62, 17.08, 40.1,  ]	NA
pt-fvsirod	NA	385	300	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-rmrpl-d	NA	9	9	NA	NA	NA
s-homeryh	NA	26	26	NA	NA	NA
s-cic	ugeq/ml	571	510	0	[ 0, 2, 3, 3, 4, 6, 7, 10, 13, 22, 64,  ]	[ 94][  0,  5,  0,  0,  1,  0,  0]
non-hdl(paasto)	NA	95	95	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-pak-3	NA	755	568	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
ktl-nla	NA	33	32	NA	NA	NA
u-bendi-o	estimate	210	143	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-metad-o	estimate	155	103	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-bupre-o	estimate	207	141	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-gluk60	mmol/l	750	521	0	[ 2.9, 5.59, 6.2, 6.7, 7.2, 7.6, 8.2, 8.8, 9.4, 10.2, 20,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
strbvieri	NA	512	405	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
glukoosi(kval)	NA	252	202	97	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	NA
s-caspähe	u/ml	713	668	0	[ 0, 0, 0, 0, 0.01, 0.01, 0.02, 0.05, 0.166, 2.39400000000002, 170,  ]	[ 32][  0,  8,  0,  0, 51,  9,  0]
s-kaurae	NA	122	120	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-litium	mmol/l	15	11	NA	NA	NA
u-osmoest	e6/l	2380	579	0	[ 47, 330, 410, 480, 520, 590, 660, 700, 810, 920, 1800,  ]	[  0][  0, 27,  0,  0, 73,  0,  0]
suhteellinentiheys,virtsasta,vieritesti	NA	208	164	0	[ 1.005, 1.01, 1.01, 1.01, 1.015, 1.015, 1.02, 1.02, 1.025, 1.025, 1.03,  ]	NA
s-koiranhilse,igevasta-aineet	NA	100	100	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-äänesk	NA	436	379	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-k-vieri	mmol/l	85	72	0	[ 3, 3.4, 3.6, 3.82, 3.9, 4, 4, 4.2, 4.3, 4.7, 5.7,  ]	NA
p-krea-vieri	NA	45	42	NA	NA	NA
pt-esofung	NA	38	36	NA	NA	NA
pt-esozmot	NA	450	441	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-fdgvpet	NA	734	433	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hasp�he	u/ml	410	398	0	[ 0, 0, 0.01, 0.02, 0.11, 0.41, 1.34, 3.648, 7.36800000000001, 17.02, 99,  ]	NA
s-rprup3e	u/ml	260	254	0	[ 0, 0, 0.01, 0.01, 0.01, 0.02, 0.02, 0.04, 0.0940000000000001, 0.606000000000001, 27.5,  ]	NA
b-vthba1c	mmol/mol	1184	346	0	[ 27, 46, 51, 54, 56, 58, 61, 64, 69, 77, 1116,  ]	NA
u-alb/krea	g/mol	49	23	NA	NA	NA
b-extri-d	NA	108	108	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-inabcv19	NA	801	590	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
fb-nh4-ion	umol/l	291	149	0	[ 7, 11, 13, 17, 24, 31, 42, 52, 69, 101, 196,  ]	NA
b-t-cd3,t-solut	e9/l	29	25	NA	NA	NA
b-nk,nk-solut	e9/l	28	25	NA	NA	NA
näyte	NA	2568	470	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
prolaktiini,plasmasta	mu/l	91	83	0	[ 24, 116, 156, 207, 239, 281, 323, 382, 464, 855, 2583,  ]	NA
rasvahappoprofiili	NA	77	67	99	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	NA
s-allige,cashew-pähkinä	NA	12	12	NA	NA	NA
s-rarah2eosatutkimus	NA	19	19	NA	NA	NA
s-rarah9eosatutkimus	NA	20	20	NA	NA	NA
s-allige,katkarapu/räka	NA	6	6	NA	NA	NA
s-allige,hasselpähkinä/hasselnötosa	u/ml	7	7	NA	NA	NA
s-allige,kookospähkinä/kokosnöt	NA	8	8	NA	NA	NA
b-erytroblasti	e9/l	758	540	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[  0][  0,  0,  0,  0,100,  0,  0]
u-resist.	NA	929	326	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mecillinam	NA	929	326	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
basofiilisetleukosyytit	e9/l	32	28	NA	NA	NA
s-schiaab	od	122	116	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17,  ]	NA
fosfatidyylietanoli,verestä	umol/l	223	178	0	[ 0.03, 0.05, 0.07, 0.11, 0.15, 0.24, 0.354, 0.557999999999999, 0.876, 1.688, 3.58,  ]	NA
s-bor-abm	NA	253	221	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-virtsanhemoglobiini	NA	17	15	NA	NA	NA
-cv19ag3	NA	142	134	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
papillomavirus,nukleiinihappo(kval)	NA	241	182	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pf-unäkö-n	NA	313	253	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ts-kudosnäytteenhistologinentutkimus,pienikudosnäyte	NA	175	106	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sy-unäkö-n	NA	869	718	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
veriryh+va	NA	512	499	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-fv	NA	248	220	92	[ 50, 87, 94, 101, 103, 109, 119, 128, 136, 144, 164,  ]	NA
pt-polamb1	NA	534	503	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 81][  0,  9,  0,  0, 10,  0,  0]
erik.näyte	NA	246	216	40	[ 0.04, 0.196, 0.29, 0.408, 0.586, 0.86, 1.4, 2.104, 5, 9.40000000000001, 67.7,  ]	NA
p-crp-oma	NA	1306	763	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 54][  0,  0,  0,  0, 44,  2,  0]
glukbel-vp	mmol/l	669	218	0	[ 2.3, 4.8, 5.3, 5.8, 6.1, 6.4, 6.9, 7.3, 8.2, 10.4, 19.4,  ]	NA
pt-gluk-r-,1t	mmol/l	9	7	NA	NA	NA
pt-raskaudenaikaisetbiopankkinäytteet	NA	20	20	NA	NA	NA
kudoksenhistologinentutkimus,pienikudosnäyte	NA	21	18	NA	NA	NA
sy-neutrofiilitjaeosinofiilit	NA	13	12	NA	NA	NA
du-pi	mmol	504	392	0	[ 1, 14.84, 20, 23.62, 27.38, 30.4, 33.8, 38.2, 43.4, 51.58, 1322.5,  ]	NA
huumeseulonta6	NA	385	367	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
se-eryt	e6/l	24	22	NA	NA	NA
s-pakkas3	NA	98	59	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
rdw	NA	119	98	11	[ 12, 13, 13, 13, 13, 13, 13, 14, 14, 14, 21,  ]	NA
s-keli-tl	NA	134	134	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pika-dimee	mg/l	73	69	0	[ 0.1, 0.2, 0.2, 0.26, 0.3, 0.4, 0.4, 0.54, 0.6, 1.18, 2.3,  ]	NA
-urpanho	NA	431	335	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-aiv-pet	NA	106	102	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
tupakointi	NA	68	67	96	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	NA
-fishhyb	NA	159	150	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
lks-kokeet	NA	108	39	NA	NA	NA
b-tromp	e9/l	1269	192	0	[ 18, 173, 195.6, 218.4, 237, 251, 267.8, 284, 306, 341, 775,  ]	NA
-hpvnhty	NA	52	43	NA	NA	NA
bo-baktvi	NA	312	249	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-lipider	NA	106	91	91	[ 4.4, 4.4, 4.48, 4.85, 5, 5.35, 5.78, 5.9, 5.96, 6.28, 7,  ]	NA
pm-sc175	NA	318	307	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-perusverenkuvajatrombosyytit,paketti	NA	42	40	NA	NA	NA
s-chpnabg	form	19	18	NA	NA	NA
s-kolesteroli,osatutkimushighdensitylipoproteiinit	mmol/l	84	78	0	[ 0.6, 1, 1.1, 1.3, 1.4, 1.5, 1.6, 1.7, 1.9, 2, 2.9,  ]	NA
s-extra2	NA	432	432	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-edta2	NA	432	432	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-vara	NA	33	23	NA	NA	NA
b-diflave	NA	1310	141	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-pakkasn	NA	563	204	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-koseeg	NA	20	19	NA	NA	NA
f-hemoglobiini(kval)(ko)	NA	101	38	NA	NA	NA
-transf	g/l	143	84	0	[ 1.32, 2.166, 2.314, 2.456, 2.53, 2.65, 2.772, 2.944, 3.106, 3.29, 4.65,  ]	NA
u-baktvi2	NA	279	237	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-baktalv,kefaleks	NA	98	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-baktalv,kefuroks	NA	98	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-baktalv,mesillin	NA	96	62	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
lisävast4	NA	88	84	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-urat	umol/l	177	95	0	[ 142, 245.2, 291.8, 325.6, 350.6, 389, 410.2, 451.8, 502.4, 578.8, 1050,  ]	NA
ph,seerumista	NA	200	155	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pocabrc	NA	104	71	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-casp2ab	NA	114	112	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-ebvnho	NA	13	13	NA	NA	NA
s-glyrab	NA	106	103	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
esat-6	tpl	76	74	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8,  ]	NA
cfp-10	tpl	77	74	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15,  ]	NA
ts-colseul	NA	623	618	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 18][ 17,  2,  0,  0, 63,  0,  0]
s-clteab	spu/ml	68	65	0	[ 0.05, 0.157, 0.668, 1.2, 1.6, 2.05, 2.62, 3.09, 4.06, 5.39, 16.1,  ]	NA
s-tati	nmol/l	537	474	0	[ 0.6, 1.3, 1.5, 1.68, 1.8, 2.1, 2.4, 2.8, 3.48, 6.1, 67.3,  ]	NA
as-amylp	NA	15	13	NA	NA	NA
b-pnh-la	NA	463	335	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
kananliha	u/ml	8	8	NA	NA	NA
penicilg	NA	184	181	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
kreatiniini(u-maniposat.)	mmol/l	368	148	0	[ 0.5, 1.6, 2.7, 3.9, 5.6, 8.1, 9.8, 11.8, 14.3, 16.89, 41.9,  ]	NA
li-talteen	NA	256	236	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-varlikv	NA	109	94	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-ige2pöl	u/ml	502	458	0	[ 0, 0.01, 0.02, 0.03, 0.04, 0.07, 0.15, 0.734, 3.428, 10, 93.3,  ]	NA
pt-sthlm3	NA	91	86	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-proteiini	mg/l	10	10	NA	NA	NA
s-normetanefriini	nmol/l	61	59	0	[ 0.2, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7, 0.7, 0.8, 0.9, 1.1,  ]	NA
fp-triglyseridit	NA	99	92	99	[ 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49, 2.49,  ]	NA
e-coombso	NA	148	119	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-homepae	NA	14	14	NA	NA	NA
potpit	NA	17	17	NA	NA	NA
pt-acth-r1	NA	710	352	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
lisälausuntotutkimukselle	NA	34	34	NA	NA	NA
b-gicancer	NA	28	26	NA	NA	NA
-alk-pak	NA	45	31	NA	NA	NA
s-golimab	NA	642	400	100	[ 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140,  ]	NA
li-bio	NA	88	84	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-meoh	NA	30	24	NA	NA	NA
s-tymidk	NA	219	175	98	[ 3.6, 4.05, 4.5, 4.95, 5.2, 5.35, 5.5, 6, 7.2, 8.4, 9.6,  ]	NA
u-tutk-1-,pro	NA	1704	764	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-rarah1e	NA	238	233	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-rarah8e	NA	107	107	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-parapek	NA	8	8	NA	NA	NA
s-ranao3e	NA	115	115	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-w-h:a	titre	7	6	NA	NA	NA
p-shbg	NA	704	379	100	[ 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24,  ]	NA
ts-sekvy-d	NA	72	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
basofiilienabs.määrä	e9/l	179	81	0	[ 0, 0.02, 0.02, 0.03, 0.03, 0.04, 0.04, 0.05, 0.05, 0.06, 0.29,  ]	NA
mpmut-d	NA	329	278	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-lybmem	NA	29	27	NA	NA	NA
ig-vaiht	NA	14	14	NA	NA	NA
p-fakb	NA	33	30	NA	NA	NA
b-retikulosyytit,perusverenkuvajatrombosyytit	NA	85	81	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-tammie	u/ml	29	29	NA	NA	NA
s-borrelia,vasta-aineet	NA	49	43	NA	NA	NA
bm-molbiot	NA	110	40	NA	NA	NA
pikainr	NA	1004	155	98	[ 1.2, 1.9, 2.1, 2.1, 2.2, 2.3, 2.4, 3, 3.3, 3.6, 4,  ]	NA
s-sital	nmol/l	77	57	0	[ 0, 40.6, 55, 68, 77, 99, 126.2, 168, 218.4, 274, 918,  ]	NA
sinkki,seerumi	umol/l	18	14	NA	NA	NA
ts-gasttk	NA	172	167	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
snabb-crp	NA	2034	626	41	[ 1, 4, 7, 10, 16, 22, 31, 42, 56.8000000000001, 84, 209,  ]	[  0][  0, 46,  0,  0, 54,  0,  0]
pt-gluk-r2,tk	NA	287	275	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
gluk0min	NA	364	349	2	[ 4, 4.9, 5.3, 5.6, 5.8, 5.9, 6, 6.2, 6.6, 7.06, 10.3,  ]	NA
NA	°c	1422	910	0	[ 24.6, 36.11, 36.6, 37, 37, 37, 37, 37, 37, 37.4, 40.4,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
oma-strept	NA	121	103	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
lepnnho	NA	77	72	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
rnp-70k-ib	NA	104	100	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mb-hb-met	%	450	160	0	[ 0.1, 0.5, 0.6, 0.7, 0.8, 0.8, 0.9, 1, 1.1, 1.4, 2.6,  ]	NA
kudostransglutaminaasi,igavasta-aineet	u/ml	69	68	0	[ 0.1, 0.2, 0.3, 0.3, 0.4, 0.5, 0.6, 0.659999999999999, 1, 2.02, 32,  ]	NA
s-glpeaba	NA	64	63	2	[ 1, 13, 16, 21, 26, 33, 40, 45.4, 53.6, 68.4, 1460,  ]	NA
tb-pikaher	NA	9	9	NA	NA	NA
s-aitneu	NA	775	676	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 39][  0,  4,  0,  0, 57,  0,  0]
pähkinät	NA	30	29	NA	NA	NA
s-krea	NA	467	333	100	[ 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83,  ]	NA
u-ds4	NA	28	28	NA	NA	NA
haemophilusinfluenzaenukleiinihappo(kval)	NA	24	24	NA	NA	NA
s-igf1sds	nmol/l	85	68	0	[ 0, 0.4, 0.6, 0.82, 0.96, 1.2, 1.4, 1.5, 2.3, 2.72, 8,  ]	NA
pt-pol	NA	124	117	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-ekgoma	NA	416	283	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hepatitisbvirus,pinta-antigeeni	NA	11	11	NA	NA	NA
s-hepatitisbvirus,s-antigeeni	NA	127	108	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-bil	umol/l	339	214	0	[ 2, 8, 12, 18.4, 25, 35, 48.8, 78.2, 152.4, 389.8, 1185,  ]	NA
cb-leuk-hy	e9/l	280	237	0	[ 1.2, 5, 6.2, 7.07, 7.76, 8.6, 9.48, 10.43, 11.52, 14.01, 46,  ]	NA
fp-rauta	umol/l	485	390	0	[ 2, 6, 8, 10, 11.8, 13.3, 15.14, 17, 20, 23.96, 65.3,  ]	NA
oma-u-tutk,u-nitr-o	NA	968	642	94	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
oma-u-tutk,u-gluk-o	NA	961	640	94	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-b12-vitamiini,transkobalamiiniii:eensitoutun	pmol/l	141	136	0	[ 21, 48, 63, 75, 86, 98, 107, 113, 123, 135, 146,  ]	NA
p-fibriinind-dimeeritpika,hoitoyksiköt	mg/l	23	23	NA	NA	NA
pvk+retik	NA	80	61	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-neuro3	NA	10	10	NA	NA	NA
s-normet	umol/l	9	6	NA	NA	NA
b-baktvip	NA	9	7	NA	NA	NA
s-klotsapiini	nmol/l	150	78	0	[ 0.8, 390.3, 786.2, 1075.4, 1368, 1516.5, 1750, 1995.8, 2367.8, 2800, 4782,  ]	NA
gastroskopiakoepalat	NA	48	45	NA	NA	NA
ab-bikarbonaatti	mmol/l	92	64	0	[ 2.4, 18.81, 21.16, 22.4, 23.58, 24.3, 25.4, 27.14, 28.5, 30.16, 39.8,  ]	NA
s-leu-ks	NA	59	57	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fish-mrd	NA	229	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mns	%	204	151	0	[ 18, 28.3, 33, 39, 44, 49, 54, 58.1, 67, 74, 88,  ]	NA
afer-ly-ty	NA	50	41	NA	NA	NA
afer-mnst	e9/tuote	189	143	0	[ 2.35, 18.322, 23.426, 27.5, 31.136, 35.26, 40.136, 42.718, 47.084, 55.56, 95.85,  ]	NA
s-tnf	NA	50	27	NA	NA	NA
s-infbcf	NA	460	401	100	[ 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16,  ]	NA
b-vara	NA	225	174	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-immunofiksaatiotutkimus,seerumi	NA	29	18	NA	NA	NA
s-proteiinifraktioidenalfa-1-fraktio	g/l	84	34	NA	NA	NA
s-hund	NA	79	76	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-äggvita	NA	89	84	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-lycd4	NA	406	183	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-mon,tmd	e3/ul	142	135	0	[ 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7, 2,  ]	NA
u-osmolaliteetti	mosm/kgh2o	116	109	0	[ 42, 220.5, 295, 329, 374, 437.5, 504, 570, 621, 707, 974,  ]	NA
syntymäpaino?(g)	g	35	34	NA	NA	NA
-generik	form	60	48	NA	NA	NA
s-yersabg	responseequivalent	69	59	0	[ 9, 9.8, 10, 11, 12, 12, 13.8, 15, 19, 26, 41,  ]	NA
b-cv19abg	NA	232	228	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-cv19abm	NA	233	229	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
probnp	ng/l	25	9	NA	NA	NA
l-lymf-m	NA	705	319	58	[ 1, 13, 22, 34, 49, 58, 68, 73.9, 79.6, 86.3, 99,  ]	NA
s-ifx-ab	NA	1034	359	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-sameuss	NA	77	76	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-pco-ex	NA	343	312	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
perinnöllinenrinta-jaovariosyöpäalttius,perusgeenipaneelings-menetelmällä	NA	9	9	NA	NA	NA
se-trigly	NA	19	15	NA	NA	NA
se-prot	NA	40	35	NA	NA	NA
s-chlamydiapneumoniae,igavasta-aineet	NA	17	16	NA	NA	NA
ly-tbspotb	spot/e6lumfos	425	403	0	[ 0, 0, 0, 0, 0, 0, 0, 2, 3, 13.6, 349,  ]	NA
fp-trigl	NA	86	83	9	[ 0.5, 0.7, 0.8, 0.8, 1, 1.15, 1.22, 1.4, 1.62, 2.1, 2.8,  ]	NA
s-zn	NA	110	106	99	[ 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12,  ]	NA
p-glukpik	mmol/l	200	134	0	[ 3.7, 5.09, 5.2, 5.4, 5.6, 5.8, 6.1, 6.2, 6.42, 7.6, 14.8,  ]	NA
u-oxy-o	NA	278	163	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
dna,vasta-aineet(natiivi),if-menetelmä,seerumista	NA	103	96	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-glukoosi(gluk.ras2h)	mmol/l	225	214	0	[ 2.9, 4.9, 5.4, 5.9, 6.3, 6.6, 7.2, 7.88, 8.82, 10.4, 16,  ]	NA
psavapaanjatotaalinsuhde	NA	139	96	99	[ 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9,  ]	NA
s-kopept	NA	77	66	96	[ 1.8, 2.04, 2.28, 2.52, 2.76, 3, 16.3, 29.6, 42.9, 56.2, 69.5,  ]	NA
-leginho	NA	264	238	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-kissa,igevasta-aineet	NA	77	76	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-allige,timotei/timotej	NA	100	99	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hlaad	form	65	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hlabd	form	66	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pd-mononuk	%	370	44	NA	NA	NA
pika-streptokokki,omalab	NA	10	9	NA	NA	NA
triglyseriditplasmasta,paastotila(ko)	mmol/l	103	100	0	[ 0.39, 0.662, 0.748, 0.84, 0.97, 1.03, 1.17, 1.304, 1.638, 1.934, 3.57,  ]	NA
p-natriureettinenpeptidi,b-tyypinn-terminaalinenpropepti(ko)	ng/l	15	15	NA	NA	NA
b-tnt-pt	ng/l	77	48	NA	NA	NA
hmpvag	NA	298	207	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
l-neutrofiilit,liuskatumaiset	%	456	291	0	[ 1, 24, 37, 45.5, 53, 57, 64, 70, 76, 83, 95,  ]	NA
-vainajansäilytys	NA	30	30	NA	NA	NA
du-tilav	NA	458	332	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
thc	NA	139	15	NA	NA	NA
keliakiavasta-aineet	NA	291	275	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
komplementtic3d	NA	6	6	NA	NA	NA
s-hepsid	NA	152	139	94	[ 2, 3.12, 3.94, 4.38, 4.68, 5.4, 6.76, 7.16, 7.56, 9.31999999999999, 14.2,  ]	NA
cv-dnamut	NA	36	33	NA	NA	NA
fe-folaatt	nmol/l	173	154	0	[ 745, 1046.2, 1127.4, 1208.6, 1330.4, 1453, 1568, 1821.8, 2035.4, 2527.4, 4707,  ]	NA
s-tsh-reseptori,vasta-aineet	NA	52	51	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-urtikar	NA	141	138	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
rasvat	NA	816	462	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-borrabm	wme	87	83	0	[ 3, 4, 6, 7, 9, 11, 14, 30.9999999999999, 123.6, 348.4, 8710,  ]	NA
s-infacf	titre	314	276	0	[ 8, 8, 8, 8, 8, 8, 8, 16, 16, 32, 512,  ]	NA
b-pvk	g/l	371	142	0	[ 90, 135, 143, 149, 159, 319, 329, 333, 338, 344, 361,  ]	NA
