TEST_NAME	MEASUREMENT_UNIT	TEST_ID	n_subjects
p-k/na	NA	0300	184
b-t-cd3	e9/l	50001	184
s-b12-tc2	pmol/l	602164	184
b-hba1c/pika	NA	3657981	184
s-valpr	NA	6003681	184
li-monos	%	50370	184
s-ana-ty	NA	616847	184
11308	nmol/l	11308	184
p-na	mmol/l	9382	184
s-epo	NA	1001339	184
s-vrabtu	NA	620729	184
fs-pth	NA	1603680	184
s-p-anca	NA	3009318	184
ly-t-cd3	%	50002	184
p-probnp	ng/l	610558	184
du-prot	mg	6002513	183
s-äitseul	NA	630334	183
b-lycd4	NA	4145	183
s-testosteroni	nmol/l	2735	183
u-cannact	NA	1880	183
sy-väri	NA	2849	183
sy-sameus	NA	0600	183
-omactgc	NA	54971	183
ts-pad-ev	NA	23034	183
pt-dxm-r1	NA	2001225	183
b-leuk	e9/l	9968	183
s-hivagab	NA	630332	183
s-mypnabm	NA	609674	183
p-gluk-1h	mmol/l	1471	183
nu-albkre	NA	656622	183
s-hbsag	NA	630331	183
b-leuk	e9/l	602250	183
s-borabjt	NA	8529	183
u-pienep	e6/l	647107	183
-bparnho	NA	13523	183
li-crypnho	NA	8628	183
14348	NA	14348	183
influenssab-virus,nukleiinihappo(kval),osatutkimus	NA	26194	183
u-ominaisp	NA	akiosa0009	183
s-trpaab	NA	630333	183
u-epi	NA	0980	183
s-kol	mmol/l	2095	183
s-psa-v/t	%	4637	183
u-glukoosiosoitus	NA	13033	183
du-prot	NA	4601086	183
baso	NA	3157	183
oma-strepta	NA	4601162	182
11784	nmol/l	11784	182
vt-hcvkomb	NA	14571	182
p-lh	u/l	7037274	182
siennho	NA	13144	182
u-leuk-bv	e6/l	637391	182
ps-rsvag	NA	8185	182
e-rdw	%	7022990	182
s-serol-n	NA	0404	182
s-spnabnv	NA	6296	182
hb-vieri	NA	601560	182
potilasmittaringlukoosi,sensori	NA	14039	182
14288	NA	14288	182
u-levyep	e6/l	647106	182
fs-ph	NA	1605190	182
s-pujospe	NA	7024	182
b-ghb-a1c	%	604132	182
fp-pi	mmol/l	1101431	182
s-prlbio	mu/l	11907	182
b-b-cd19	e9/l	50003	182
s-prlrec	%	11906	182
s-hivag	NA	3671	182
u-baktevi	NA	5577887	182
leukosyytit	NA	2218	182
li-kardab	NA	3362	182
b-jak2-d	NA	616664	182
papillomavirus,nukleiinihappo(kval)	NA	4075	182
u-pbg	umol/l	2486	181
ekg-oma	NA	625988	181
p-alb	g/l	1001028	181
p-ferrit	ug/l	603552	181
ab-het-ion	NA	649948	181
cu-kesto	NA	211	181
fl-hiivana	NA	9501	181
s-dheas	NA	3166	181
u-sakka,bakt	NA	1600029_4	181
fs-kalsium-ioni.aktuaali	mmol/l	50098	181
ly-nk	%	50008	181
s-prog	NA	2502	181
u-suhti-o	NA	2715	181
penicilg	NA	989	181
-cand-vi	NA	1628	181
li-mikrnho	NA	23052	181
am-epo	u/l	4708	181
-hsvpvi	NA	6004401	181
b-nk	e9/l	50007	181
fs-kolestroli,lowdensitylipoproteiini	mmol/l	2099	181
p-probnp	ng/l	606491	181
bm-kromhem	NA	3002152	181
p-aminoh	NA	1061	181
u-gluk-o	NA	0352	181
fl-tric-na	NA	9769	181
b-t-cd8	e9/l	50006	181
s-chtraba	NA	4498	181
p-t4-v	pmol/l	647583	180
pt-no-ex	ppb	4812	180
vb-ca-i7.4	NA	10121	180
s-plgf	ng/l	50448	180
p-t4-v	pmol/l	629230	180
li-hsv1nho	NA	23062	180
vb-vekaas	NA	616685	180
u-eryt-pika	NA	4053013	180
u-keto-pika	NA	4053015	180
li-hsv2nho	NA	23063	180
b-trveadp	NA	20990	180
p-tromboplastiiniaika,inr-tulos	NA	4520	180
s-sentromeerip,vasta-aineet	NA	20154	180
li-stpnnho	NA	23058	180
li-evirnho	NA	23061	180
u-omin.p-pika	NA	4053014	180
li-eck1nho	NA	23053	180
ps-stra-ag	NA	103635	180
s-lzm	NA	3002289	180
s-brucab	NA	1205	180
fp-rauta	umol/l	4529	180
s-hbs-ag	NA	1001605	180
af-baktvi	NA	8077	180
-chtrnho	NA	609731	180
li-nemenho	NA	23056	180
-inabrsv	NA	246	180
li-strbnho	NA	23057	180
li-parenho	NA	23065	180
li-hhv6nho	NA	23064	180
li-crnenho	NA	23059	180
p-alb	g/l	1605243	180
fish-i-mm	NA	12048	180
li-limonho	NA	23055	180
s-asetoni	NA	8898	180
oma-b-fidd	mg/l	7351887	180
s-prltot	mu/l	11905	180
-cv19ag2	NA	7902	180
u-nitr-pika	NA	4053010	180
s-kudostransglutaminaasi,iga-vasta-aineetosatutk.	NA	1885	180
-hhpvty	NA	22422	180
u-gluk-pika	NA	4053016	180
u-prot-pika	NA	4053011	180
-hhpvgt	NA	22423	180
s-hbcab	NA	1001606	179
u-leuk-pika	NA	4053009	179
p-bil	umol/l	7010038	179
e-cdw	%	1349	179
s-hcgbv/d	ug/l	3897208	179
u-eryt	NA	603952	179
p-tfr	mg/l	1623564	179
li-hainnho	NA	23054	179
s-htlvjt	NA	20348	179
p-etgly	NA	50113	179
s-p�lyry	NA	7153	179
li-vzvnho	NA	23066	179
li-vzvnho	NA	8627	179
s-enal	NA	10455	179
8667	NA	8667	179
p-preurea	mmol/l	11500	179
p-progly	NA	50115	179
p-proh	NA	50111	179
prostataspesifinenantigeeni,vapaa	ug/l	4900	179
s-t3-v	pmol/l	102775	179
penicilv	NA	990	179
s-infbabg	eiu	4957	179
u-tutk-1,gluk	NA	3268_GLUK	179
8666	NA	8666	179
b-tnipika	ug/l	8025	179
s-keliakiatutkimus,suppea	NA	0013	179
8665	NA	8665	179
f-baktvi1	NA	2607250	178
b-ghba1cv	NA	621017	178
glutamyylitransferaasi	u/l	4597	178
f-baktvi1	NA	2103442	178
u-epit	NA	603953	178
p-kol	NA	4515	178
u-tutk-1,keto	NA	3268_KETO	178
tyroideaperoksidaasi,vasta-aineet	u/ml	6406	178
b-pvk+tkd	NA	3695	178
p-alko	NA	55022	178
glukoosi-koe,oraalinenlyhyt	NA	1483	178
vymp	cm	10405	178
pt-notto	NA	602595	178
p-tnt	NA	4464	178
u-ni	NA	2397	178
s-ace	NA	1092	178
p-ipro	NA	50112	178
p-ohbutyr	NA	4854	178
s-ovarab	NA	2362	178
trik-od	NA	0937	178
b-vrab-gr	NA	4055451	178
ab-emäsylimäärä	NA	50030	177
s-glpepabg	au	6299	177
b-cd19	e9/l	9292	177
p-fiddpik	mg/l	6520	177
cb-ca-ion	mmol/l	10080	177
p-glkg	ng/l	4975	177
b-temp	°c	0562	177
-mdrsvi	NA	9690	177
s-cmvabg	NA	3004168	177
f-baktvip	NA	10207	177
u-lier	NA	603954	177
amoxycilli	NA	465	177
b-erybla	NA	632292	177
vb-hb-met	NA	8279	177
askivuosia	u/24h	10427	177
pt-gfre-md	NA	604818	177
li-vzvnho	NA	54268	177
kreatiniini,pikatesti	umol/l	8003	177
pt-polambl	NA	651220	177
b-t-cd4	NA	10979	177
ly-t-cd4/8	NA	50009	177
s-trpaab	NA	619092	177
s-rarah2e	u/ml	7316	177
se-krea	umol/l	10496	176
l-ly	NA	3223	176
li-säilyt	NA	9400	176
fl-fluor,nsv	NA	609703_3	176
-gcvi	NA	3001506	176
p-amylaasi,haimaperäinen	u/l	4590	176
fe-folaat	NA	610020	176
u-lieriöt	u/field	0124	176
u-tutk-1,prot	NA	3268_PROT	176
s-rf	NA	602604	176
pt-gfreepinosatutkimus	NA	15326	176
p-ca-ion	NA	9225	176
s-ascaba	NA	8736	176
s-ca-ion	mmol/l	5009010	176
p-krea+gfrviitasaar,pt-gfre	ml/min/173m2	6002_PT-GFRE	176
natrium,pikatesti,veri	mmol/l	23249	176
campnho	NA	8635	176
s-ca-iona	mmol/l	4008524	176
vi	NA	91003	176
s-o4.5.12	NA	9330	176
pt-gfre-md	NA	609325	176
u-tutk-1,ph	NA	3268_PH	176
u-tutk-1,nitr	NA	3268_NITR	176
oma-hba1c	NA	0000	176
u-hcg-o	NA	3629417	176
l-monos	NA	3230	176
u-tutk-1,leuk	NA	3268_LEUK	176
14021	NA	14021	176
e-rdw	NA	2895985	176
p-tyreotropiini	NA	4831	176
s-ttgaba	NA	629932	175
b-krea-pt	umol/l	P248	175
p-vwf-akt	NA	6334	175
u-eryt	u/field	0121	175
ly-b-cd19	%	50004	175
cu-kesto	min	0211	175
pt-enmg-et	NA	1303	175
u-hyalier	NA	8369	175
näytt.otto	NA	618402	175
p-at3.	NA	602874	175
pt-notto	NA	8034	175
ab-hkr	NA	0068	175
b-hba1c/p	NA	2644720	175
pf-unäkö-n	NA	3002848	175
l-neut	NA	0156	175
neulanpistopaketti(kohde)pyydäerikseenp-alat	NA	9034	175
pf-solut	NA	622544	175
p-tt	NA	1607046	175
p-tpoab	u/ml	646206	175
48390	NA	48390	175
ua-hetashb	NA	22074	174
ab-happamuusaste	NA	1527	174
s-afp/d	u/ml	13941	174
cu-tilav	ml	0207	174
u-levyep	NA	8368	174
14350	NA	14350	174
ts-mgmtmet	NA	20995	174
vp-laktaat	NA	8281	174
s-gt	iu/l	1489	174
k-vitamiinitk1jak2,pakettitutkimus	NA	10452	174
s-iglcl-v	NA	619596	174
s-tsh-peg	mu/l	50228	174
-selvtyö	NA	0007	174
s-yersabl	NA	54272	174
b-baso	e9/l	7010065	174
ly-cd19	%	9291	174
b-ghba1c/	%	1607246	174
b-vara	NA	13235	174
u-bakteeri,viljely,virtsa	NA	1155	174
cu-tilav	NA	207	174
br-pad-4	NA	608221	174
s-ada	NA	2991	174
12510	NA	12510	174
-staunho	NA	54965	174
ut-syto	NA	4189	174
sc-hygvi	NA	11474	174
s-ebvabg	u/ml	3001336	174
pt-ekg-pa	NA	2101279	174
s-iglck-v	NA	619595	174
b-hba1c/p	mmol/mol	2644721	174
ab-gluk	NA	14710	174
pt-enmg-2	NA	101302	174
s-risper	NA	1930	173
pf-diffi	NA	3003664	173
s-cefacie	u/ml	13011	173
ex-syto	NA	4080	173
u-albkre	NA	600160	173
s-ccpab	u/ml	602776	173
s-ccpab	NA	606404	173
pt-gluk-r	NA	3636266	173
b-mkvan	NA	23581	173
-neisseriagonorrhoeae,nukleiinihaponosoittaminen	NA	1723	173
s-keliakia,totaaliiga	NA	11664	173
pt-pol-eil	NA	2897470	173
fp-crp	mg/l	1216	173
cb-tt-inrpika	NA	602165	173
erytrosyytit,kokojakauma	%	11086	173
fp-krea	umol/l	602857	173
s-hepatiittibvirus,s-antigeeni	NA	1605	173
b-neut	NA	7010326	173
l-lymfosyytit,mikroskopointi	%	10478	172
l-monosyytit,mikroskopointi	%	10477	172
klamydia,tippuri.chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)	NA	1738	172
rvirag-o	NA	13228	172
s-mkomp-2	g/l	9983	172
p-mg	NA	1604555	172
p-ebvnh	iu/ml	4775	172
p-tsh-ong	mu/l	50565	172
s-ld-1	%	3076	172
ab-het-ion	NA	649949	172
proteiini(kval),virtsasta,vieritesti	NA	1376	172
u-epit	NA	1615359	172
s-anaab	NA	1102819	172
f-baktvi1	NA	1607250	172
b-monos	e9/l	7010066	172
s-ruokaer	u/ml	1600118	172
p-psa-suh	NA	1604815	172
ua-hb	g/l	20776	172
s-kryog	g/l	3656	172
p-reumafa	NA	50074	172
p-iga	NA	604897	172
pt-ekg,12kytkentäälevossa(k-pks:n)(ko)	NA	1270	172
s-testo-vl	pmol/l	619707	172
p-kardabg	u/ml	10512	172
s-ebvavi	%	4626	172
nitriitti(kval),virtsasta,vieritesti	NA	1436	172
p-troptkon	NA	4745	172
erytrosyytit(kval),virtsasta,vieritesti	NA	1434	172
oma-kemseu	NA	625853	172
s-rarah6e	u/ml	7321	172
14346	NA	14346	172
kiirgenlab	NA	Kii2204	172
-respnho	NA	13527	172
s-vlseabm	au/ml	618440	172
pt-ekgkipu	NA	1271	171
pika-crp	mg/l	603005	171
s-mpoab	NA	3004148	171
e-aborhsp	NA	604413	171
f-norogii	NA	11468	171
b-myrkyt	NA	8146	171
pt-tahdist	NA	21378	171
p-psa-suh	%	613260	171
p-alb	g/l	1603986	171
vp-k	NA	8282	171
p-vrabosp	NA	604414	171
f-norogi	NA	11467	171
glukoosi(kval),virtsasta,vieritesti	NA	1362	171
vb-o2-sis	NA	8276	171
b-crp-pik	mg/l	1101217	171
s-igaab	NA	3049	171
s-shbg	NA	7368542	171
p-glukp	mmol/l	1471	171
p-psamob	ug/l	21038	171
leukosyytit(kval),virtsasta,vieritesti	NA	1435	171
asetoniaineet(kval),virtsasta,vieritesti	NA	1367	171
s-ttgabg	NA	603345	171
p-ferrit	ug/l	614979	171
sikiönkehityshäiriöidenseuranta,1.trimesteri,hormonit	NA	9648	171
bkvnh	NA	6324	171
pt-gfre-md	NA	609327	171
s-yerp3ab	NA	54276	170
u-prokre	NA	4712	170
-leuk	e6/l	20162	170
kreatiniini	mmol/l	2145	170
s-pr3ab	NA	3004160	170
fl-hiivavi	NA	1606284	170
f-enve-o	NA	3002053	170
tromboplastiiniaika,inr-tulostus,plasmasta	NA	4520	170
s-ld-5	%	3077	170
glukvieri	NA	9068	170
p-psa-v	ug/l	613259	170
b-crp-o	NA	9700	170
glukbel-vp	NA	0237	170
ts-ngsshs1	NA	21316	170
pt-gfreepi	NA	627013	170
psa-v/psa	NA	602225	170
alkalinenfosfataasi	u/l	4587	170
vp-cl	NA	8284	170
p-asetoni	NA	50114	170
p-kreatiinikinaasi	u/l	4517	170
p-bil-kj	NA	1001189	170
e-rethe	NA	19977	170
s-codiab	NA	1253	170
vb-po2	NA	8272	170
u-bil-o	NA	1187	170
vb-thb	NA	8277	170
covid-19-koronavirustauti,nukleiinihappo(kval)	NA	6466	170
timotee	u/ml	9840	170
cv-kromos	NA	3641	170
p-tnthoi	NA	8524	170
pt-radjodh	NA	7920	170
p-b12-vit	NA	7010576	170
crp-pika	NA	603456	169
ps-streptokokkia,antigeeni,hoitoyksiköt	NA	8513	169
vp-na	NA	8283	169
f-para-o	NA	102455	169
vp-gluk	NA	8280	169
p-inr	NA	603120	169
fp-gluk-sn	mmol/l	9772	169
chlamydiatrachomatis,nhosoitus	NA	4807	169
e-mchc	g/l	11557	169
22058	NA	22058	169
e-mcv	fl	11357	169
vb-hbo2sat	NA	8275	169
l-leukosyytit,eosinofiiliset,mikroskopointi	%	10475	169
vb-pco2	NA	8271	169
rr	NA	10006	169
vb-ahco3	NA	8274	169
-pncaag	NA	3998	169
neisseriagonorrhoeae,nho	NA	1723	169
s-salmabm	NA	3319	169
s-mypnabm	NA	104151	169
s-leveti	umol/l	6169	169
pp-baktnh	NA	6372	169
inr-vieri	NA	603043	168
pt-fvspido	NA	7010486	168
u-hemsi-o	NA	1572	168
vb-ca-ion	NA	10628	168
s-asta	NA	3001100	168
s-infliab	NA	13057	168
s-c-reaktiivinenproteiini/	mg/l	VI1216	168
s-kvriski	NA	09562	168
pt-klr-tje	NA	1102068	168
b-pvk+kd	NA	2475	168
-hhv6nh	NA	6136	168
s-estdio	nmol/l	1366	168
s-alb	NA	1028	168
s-verikoh	NA	10177	168
vp-ca-ion	NA	8413	168
mb-o2sat	%	20279	168
virtsanirtosolututkimus	NA	4078	168
s-kol-hdl	mmol/l	2097	168
b-hba1c	mmol/mol	604172	168
ts-ihpika	NA	11211	168
l-myel	NA	8703	167
l-neut	%	00679	167
p-tyreotropiini(ko)	mu/l	2832	167
s-dmklots	NA	3004208	167
l-ly	%	00046	167
b-genesik	NA	9601	167
neuvola1	NA	603108	167
pt-acthrmk	NA	21530	167
l-monos	%	00693	167
e-mchc	NA	101557	167
nitriitti(kval)	NA	3094	167
l-promyel	NA	8702	167
14351	NA	14351	167
l-meta	NA	8704	167
l-sauvat	%	0678	167
u-epit	e6/l	603953	167
p-krea+gfrviitasaar,p-krea	umol/l	6002_P-KREA	167
s-d-25	NA	629949	167
b-niptdel�������	NA	6374	167
s-keliseul	NA	629940	167
p-psa-suh	%	603960	167
f-clostridiumdifficile,toksiinigeeni,nukleiinihappo(kval)	NA	6141	167
l-neut	NA	1605331	167
pt-ekg/päiv	NA	9099	167
fs-jc-pept	nmol/l	2503	167
-gardnerellavaginalis,nukleiinihappo	NA	10095	167
pt-ekg,eteisvärinänseulonta,valvontamonitori-ekg	NA	21878	167
b-erytrosyytit,tilavuusosuus(hematokriitti)	%	1358	167
p-psa-v	ug/l	603959	167
p-psa-suh	NA	4059109	167
l-blast	NA	8701	167
hmpvag	NA	13229	167
p-ca-iona	NA	7368422	167
l-ly	NA	1605113	167
u-eryt	e6/l	603952	167
p-ca-albk	mmol/l	45283	167
eivoitu	NA	21056	167
cu-alb	NA	602630	167
s-inflipa	NA	50528	166
b-crp-pika	NA	613711	166
s-anca	NA	615749	166
u-alb	NA	9411	166
s-testovl	pmol/l	16451	166
s-hcvab	NA	2103815	166
s-dgpaba	NA	644900	166
happamuusaste,virtsasta,vieritesti	NA	1364	166
u-kemseul	NA	603162	166
tb1	NA	5593628	166
f-campylobacter,viljely	NA	2021	166
p-crp-o	NA	7010488	166
u-osmoie	NA	2646120	166
f-baktvi1	NA	612796	166
u-ctngnho	NA	10014341	166
ly-t-cd8	NA	4241	166
s-ca-ion	mmol/l	9789	166
s-borrabm	NA	1104096	166
s-fsh	u/l	3001422	166
s-pölyer	u/ml	0613	166
s-hepyabg	NA	1103954	166
p-krea	NA	610351	166
sk-padihot	NA	104184	165
p-kol-hdl	NA	4516	165
pujoe	u/ml	9839	165
b-gluk/pi	NA	2602372	165
du-prot.	NA	21792	165
s-kemkäs	NA	18112	165
s-d-1,25	NA	1003163	165
k2-vitamiini,menakinoni-4(mk4)osatutkimus	ug/l	10453	165
p-hae	NA	235	165
gluk-pika	mmol/l	602923	165
s-amylp	u/l	3923	165
p-urea	NA	1605077	165
b-tbifng	NA	5593630	165
p-psa-v	NA	3946038	165
p-pbnp-o	ng/l	50400	165
s-frtuabm	NA	3331	165
p-fidd-vt	NA	11331	165
-papilloomavirus(hpv),suurenriskin,dna-osoitus	NA	12126	165
u-albkre	mg/mmol	603121	165
s-beta-1	g/l	14349	165
työkyky2	form	10405	165
glukoosi-koe,oraalinen,raskaudenaikainen	NA	4800	165
u-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)	NA	4816	165
p-ca	mmol/l	626692	165
s-dgpabg	NA	644901	165
cu-alb	NA	2103557	165
näköseula	NA	2279506	165
22102	nmol/l	22102	165
e-mchp	pg	101558	164
b-pvk	paketti	2473	164
e-mchcp	g/l	101557	164
tyreotropiini	NA	4831	164
pt-gluk-r1:p-gluk2hnäyte	mmol/l	0313	164
e-mcvp	fl	101357	164
p-asat	u/l	103250	164
b-erytp	e12/l	101341	164
b-tromp	e9/l	628364	164
s-b2gpabg	NA	11066	164
tb2	NA	5593629	164
p-tfr	mg/l	600334	164
pt-gluk-r1:fp-gluk0-näyte	mmol/l	0311	164
pf-perust	NA	55032	164
p.-trombai	s	602875	164
s-vrabtu	NA	2955	164
b-tnt	NA	4278	164
s-afluust	u/l	10483	164
fs-transf	g/l	102756	164
b-hbp	g/l	628260	164
pt-gfre-md	NA	604820	164
oma-b-hb	g/l	787	164
b-leukp	e9/l	600001	164
c-anca	NA	8023	164
l-monos	NA	1605115	164
pt-konsul	NA	4050	164
-cv19nho	NA	06466	164
s-tni	NA	4361	164
ulosteenripulivirukset,nukleiinihappo-osoitus(kval)	NA	14157	164
suhteellinentiheys,virtsasta,vieritesti	NA	1363	164
b-6-tgn	pmol/02ml	21013	164
b-hkrp	%	628365	164
mrsasevi	NA	9660	164
s-beta-1	g/l	9923	164
b-k-pt	mmol/l	P250	164
ps-strvi	NA	4002703	164
b-crp	NA	1216	164
koirae	u/ml	9843	164
p-nak	NA	557	163
li-hhvnho	NA	54269	163
happisaturaatiovastaanotolla	NA	3180.	163
b-cya-mit	ug/l	21236	163
oma-troponiini	NA	602160	163
vieri-crp	NA	999	163
hoighb-a1c	NA	99900	163
s-trpaab	NA	603859	163
ps-straag	NA	1011919	163
du-oksal	NA	2421	163
s-alfa-1	g/l	9921	163
s-gamma	g/l	9925	163
s-leuk-abo	NA	4272	163
p-krea	NA	631352	163
s-mi-2	NA	13735	163
-merscov	NA	8831	163
p-tt.	%	3013892	163
-rescov	NA	8830	163
b-trveasa	au	20989	163
p-ferrit	NA	613961	163
p-glukoosipikahoitoyksiköt	NA	8512	163
s-hivagab	NA	603857	163
ts-egfrish	NA	8933	163
e-aborh	NA	3636276	163
u-ctngnho	NA	1647011	163
s-hbsag	NA	603858	163
u-epiteelisolut	e6/l	10096	163
s-alfa-2	g/l	9922	163
b-na-pt	mmol/l	P249	163
s-beta-2	g/l	9924	163
s-album	g/l	9920	163
ly-tbspppd	spot/e6lumfos	20468	163
kolesterolinjahdl-kolest.suhde	NA	0020	163
p-fidd	NA	1104113	163
11624	NA	11624	163
-bopanho	NA	8832	163
b-vrab-gr	NA	3636280	163
pt-gfre-3	NA	10300	163
s-gadab	NA	0300	163
b-kml-qr	NA	21252	163
p-aldos	pmol/l	6337	163
p-crp-o	NA	1629324	163
työpaikanhuumeseulontajavarmistus,7yhdistettä	NA	55025	163
fp-pth	pmol/l	3004560	162
b-pvk+t	%m	2474	162
kalsium	mmol/l	4598	162
ts-nras-d	NA	11229	162
s-hcvab	NA	1606825	162
b-pvk+t	%l	2474	162
p-crp-oma	NA	3629404	162
ts-pad-3co	NA	14056	162
xxlymf	%	191	162
-cv19nho	NA	628332	162
ca++/7.40	NA	602204	162
p-alb	NA	604891	162
14347	NA	14347	162
-stinho	NA	20957	162
k1-vitamiini(fyllokinoni)osatutkimus	ug/l	9251	162
u-bakteeri,jatkoviljelyseulottunäyte	NA	3777	162
s-treponemapallidum,vasta-aineet	NA	9475	162
xxeos	%	598	162
pt-vp-dop	NA	2912	162
ab-ph	NA	6001527	162
b-tt-inrv	NA	3124	162
xxneut	%	612	162
u-gcnho	NA	1646952	162
s-ebvnabg	u/ml	6392	162
xxmono	%	197	162
fb-gluk	mmol/l	1467	162
s-prot	g/l	9066	162
b-pvk+t	%g	2474	162
-chl.trach.janeisser.gonorrh,nukl.hapon(kval)	NA	1738	162
u-chtrnho	NA	1646951	162
s-tr1horm	NA	604620	162
b-tni-v	NA	0117	162
s-kipa	NA	10042	162
b-neutp	%	10545	162
cb-be	NA	45139	162
s-ihotab	titre	1657	162
s-infliab	au/ml	6380	162
hemoglobiini,verestä,vieritesti	g/l	9061	162
s-ttgabg	NA	1604766	162
reumafaktori,plasmasta	NA	8849	162
xxbaso	%	599	162
huumeseulonta(kval)	NA	4221	162
b-ohbutm	mmol/l	8790	161
-tbpvr	NA	2813	161
p-haptog	NA	1545	161
u-leuko-o	NA	0378	161
u-eryt	e6/l	604502	161
s-tsh-abr	NA	10310	161
u-lier	e6/l	603954	161
evirnho	NA	4392	161
l-leukosyytit,basofiiliset,mikroskopointi	%	10476	161
pt-gluk-r6	NA	633057	161
b-lymfosyytit	%	3223	161
b-mxdp	%	10542	161
ulosteenbakteeripatogeenit,nukleiinihaponosoitus(pcr)	NA	54328	161
b-gluk(vo.hoitaja)	NA	akivo0016	161
osmolaliteettiestimoitu	mosm/kgh2o	8372	161
pika-covid-19ag	NA	627075	161
ca-ion	NA	602206	161
s-kardab	NA	3002031	161
li-baktnho	NA	8816	161
oma-tnt	NA	463	161
kt/v	NA	11502	161
u-epit	e6/l	604500	161
p-myogl	NA	605265	161
b-gluk/pika	NA	602372	160
pt-ekg-oma	NA	10017408	160
b-hemoglobiini-a1c,glykoitunut	mmol/mol	6128	160
mb-hb-met	%	20339	160
p-psa-suh	NA	603960	160
fb-b6-vit	nmol/l	3429	160
p-at3	NA	3001103	160
s-jgadab	NA	4400	160
-sienlm	NA	3506	160
s-yer3ab	titre	9273	160
mb-hbo2	%	20342	160
p-psa-v	NA	603959	160
u-chtrnho	NA	1615569	160
gluk-vieri	NA	601561	160
p-cl	NA	3002080	160
mb-hb-co	%	20336	160
mb-hb	g/l	20333	160
u-eryt	NA	1615356	160
s-yerp1ab	NA	54275	160
ns-infab/r	NA	10673	160
e-coomb-o	NA	3003015	160
s-kysc	NA	607736	160
strepa(päiv.hoitaja)	NA	akiea0008	160
jcvnh	NA	14267	160
s-cea	ug/l	102034	160
p-reumafaktori,rf	NA	50074	160
pt-ekg,sisältäentietokoneanalyysin(malmin)(pi)	NA	1272	160
s-rarah1e	u/ml	20801	160
lisätutkim	NA	0057	160
s-testab	NA	4126	160
p-anca	NA	8024	160
kissae	u/ml	9842	160
p-laktaattidehydrogenaasi	u/l	4526	160
s-afmaks2	u/l	10484	160
e-fenoty	NA	626742	159
b-6-me-mp	pmol/02ml	21214	159
s-adalimu	mg/l	11091	159
s-puumabm	NA	1601263	159
p-kortisoli	nmol/l	2128	159
b-mxd	%	14052	159
s-yer9ab	NA	54274	159
s-cob5abg	eiu	4297	159
s-amyls	u/l	4286	159
polikliininennäytteenotto	NA	13487	159
u-buprect	NA	1822	159
-pmscl10	NA	8378	159
gt-cdt-ind	NA	618304	159
pt-gluk-r1	NA	1629306	159
lisävast	NA	8004	159
s-hepyabg	u/ml	3003954	159
p-pc	%	3003435	159
pt-ekg-12	NA	603163	159
p-ps	NA	4449	159
pt-ekg-pao	NA	4476	159
p-gluk	mmol/l	0302	159
p-ca12-5	u/ml	7037269	159
b-ly	e9/l	9265	159
s-seerumn	NA	18431	159
s-testovl	pmol/l	11079	159
pt-gluk-r6	NA	633058	159
s-kalium	mmol/l	2001	159
p-kol-hdl	NA	3663263	159
b-eos	e9/l	12294	159
pu-bakteeri,viljely1(anaerobi+aerobiviljely,	NA	3491	159
u-huumeseulonta(kval)	NA	9233	159
ab-hb-co	NA	50034	159
s-puumabg	NA	1601262	159
s-frtuabg	NA	3330	159
p-posturea	mmol/l	11501	158
p-ferrit	ug/l	7010282	158
du-prot	NA	3025130	158
b-hb-o	NA	9737	158
p-crppika	mg/l	632991	158
p-amyl	u/l	1605245	158
s-protks	g/l	495	158
b-jak2-d	NA	616628	158
s-cladhee	NA	1605125	158
b-crp-pt	mg/l	23318	158
s-mypnabg	eiu	6004150	158
p-apcres	NA	4378	158
ab-lämpöti	°c	0544	158
perustutkimus,esitiedot(360u-tutkesi)	NA	360	158
u-alb	mg/l	1030	158
u-chtrnho	NA	4937	158
bi-inflamm	NA	21963	158
pika-crp	mg/l	39000	158
f-hb-hum	NA	3181	158
s-emaba	NA	602021	158
p-traika	NA	12782	158
p-tfr	NA	603658	158
s-ca-ion	NA	1103673	158
p-bil-lap	NA	8862	158
p-ld	NA	1605025	158
pika-hba1c	NA	3944675	158
e-abo-rh	NA	1002951	158
lipidipaketti	NA	2245	158
s-tsh	mu/l	6002832	158
pt-ekg-pika	NA	604409	158
neuvola1,äitiysneuvolatutkimukset	NA	588	157
s-uraat	umol/l	1102884	157
streptococcus,viljely(hemolyyt.streptokokitnielusta)	NA	2703	157
fp-pi	mmol/l	3001431	157
s-pakkasn	NA	18413	157
u-lier	e6/l	604501	157
-ururnho	NA	20963	157
s-c-reaktiivinenproteiini,pika	NA	1216PIKA	157
u-alb-mi	NA	637192	157
b-hnpcy-d	NA	4655	157
ab-hbo2	NA	3240	157
-myhonho	NA	20961	157
strepa	NA	871	157
-gcnho	NA	20959	157
kalsium,ionisoitunut,aktuaali	mmol/l	11564	157
u-albkre	mg/mmol	1029	157
s-sentab	u/ml	3652	157
s-adaliab	NA	13211	157
-urpanho	NA	20964	157
-ervr	NA	9330	157
-ctjtnho	NA	21063	157
pt-gfre	NA	3743355	157
ts-pad-ev	NA	619444	157
s-ige3pöl	NA	9836	157
fp-gastpan	NA	10517	157
b-pvk+tkd	%	2475	157
s-äitseul	NA	3636023	157
tu-fish	NA	5239	157
ly-t-cd3	NA	10973	157
