id,source,abbreviation,abbreviation_source,name_fi,name_se,unit,source_concept_id,concept_id_omop_grouped
6206,LABfi,b-hlaabac,B -HLAAbac,"B -Abacavir-yliherkkyys, HLA-assosiaatio, DNA-tutkimus","B -Överkänslighet mot abacavir, HLA-association, DNA-undersökning",Lomake,2014003640,NA
6207,LABfi,b-hlaallo,B-HLAAllo,"B-Allopurinoli-yliherkkyys, HLA-assosiaatio, DNA-tutkimus","B -Överkänslighet mot allopurinol, HLA-association, DNA-undersökning",Lomake,2014003641,NA
6208,LABfi,b-fishhem,B -FISHhem,"B -Hematologinen fluoresenssi in situ hybridisaatio, veri","B -Hematologisk fluorescens in situ hybridisering, blod",Lomake,2014003642,NA
6209,LABfi,bm-fishhem,Bm-FISHhem,"Bm-Hematologinen fluoresenssi in situ hybridisaatio, luuydin","Bm -Hematologisk fluorescens in situ hybridisering, benmärg",Lomake,2014003643,NA
6210,LABfi,ts-fishhem,Ts-FISHhem,"Ts-Hematologinen fluoresenssi in situ hybridisaatio, kudos","Ts -Hematologisk fluorescens in situ hybridisering, vävnad",Lomake,2014003644,NA
6211,LABfi,b-fishmrd,B-FISHMRD,"B-Fluoresenssi in situ hybridisaatio, jäännöstaudin osoittaminen, veri","B -Fluorescens in situ hybridisering, påvisande av MRD (minimal kvarvarande sjukdom), blod",Lomake,2014003645,NA
6212,LABfi,bm-fishmrd,Bm-FISHMRD,"Bm-Fluoresenssi in situ hybridisaatio, jäännöstaudin osoittaminen, luuydin","Bm -Fluorescens in situ hybridisering, påvisande av MRD (minimal kvarvarande sjukdom), benmärg",Lomake,2014003646,NA
6213,LABfi,ts-fishmrd,Ts-FISHMRD,"Ts-Fluoresenssi in situ hybridisaatio, jäännöstaudin osoittaminen, kudos","Ts -Fluorescens in situ hybridisering, påvisande av MRD (minimal kvarvarande sjukdom), vävnad",Lomake,2014003647,NA
6214,LABfi,b-m-fish,B-M-FISH,"B-Fluoresenssi in situ hybridisaatio, 24 väri, veri","B -Fluorescens in situ hybridisering, 24 färg, blod",Lomake,2014003648,NA
6215,LABfi,bm-m-fish,Bm-M-FISH,"Bm-Fluoresenssi in situ hybridisaatio, 24 väri, luuydin","Bm -Fluorescens in situ hybridisering, 24 färg, benmärg",Lomake,2014003649,NA
6216,LABfi,ts-m-fish,Ts-M-FISH,"Ts-Fluoresenssi in situ hybridisaatio, 24 väri, kudos","Ts -Fluorescens in situ hybridisering, 24 färg, vävnad",Lomake,2014003650,NA
6217,LABfi,pl-fishdel,Pl-FISHdel,"Pl-Kromosomien mikrodeleetioiden FISH-tutkimus, istukka","Pl-FISH-undersökning av mikrodeletioner i kromosomer, placenta",Lomake,2014003651,NA
6218,LABfi,am-fishdel,Am-FISHdel,"Am-Kromosomien mikrodeleetioiden FISH-tutkimus, lapsivesi","Am-FISH-undersökning av mikrodeletioner i kromosomer, amnionvätska (fostervatten)",Lomake,2014003652,NA
6219,LABfi,ts-mksyn,Ts-MKsyn,"Ts-Molekyylikaryotyypitys, synnynnäiset poikkeavuudet (array)","Ts-Molekylär karyotypning, medfödda avvikelser (array)",Lomake,2014003653,NA
6220,LABfi,b-mksyn,B -MKsyn,"B -Molekyylikaryotyypitys, synnynnäiset poikkeavuudet (array)","B-Molekylär karyotypning, medfödda avvikelser (array)",Lomake,2014003654,NA
6221,LABfi,bm-mkhem,Bm-MKhem,"Bm-Molekyylikaryotyypitys, synnynnäiset poikkeavuudet (array)","Bm-Molekylär karyotypning, medfödda avvikelser (array)",Lomake,2014003655,NA
6222,LABfi,ts-mkhem,Ts-MKhem,"Ts-Molekyylikaryotyypitys, synnynnäiset poikkeavuudet (array)","Ts-Molekylär karyotypning, medfödda avvikelser (array)",Lomake,2014003656,NA
6223,LABfi,am-trimdel,Am-TriMdel,Am-Kohdennettu trisomia- ja mikrodeleetiotutkimus lapsiveden soluista,Am-Riktad trisomi- och mikrodeletionsundersökning av celler i amnionvätska,Lomake,2014003657,NA
6224,LABfi,b-trimdel,B-TriMdel,B-Kohdennettu trisomia- ja mikrodeleetiotutkimus verisoluista,B-Riktad trisomi- och mikrodeletionsundersökning av blodceller,Lomake,2014003658,NA
6225,LABfi,cv-trimdel,Cv-TriMdel,Cv-Kohdennettu trisomia- ja mikrodeleetiotutkimus istukan soluista,Cv-Riktad trisomi- och mikrodeletionsundersökning av celler i placenta,Lomake,2014003659,NA
6226,LABfi,ts-trimdel,Ts-TriMdel,Ts-Kohdennettu trisomia- ja mikrodeleetiotutkimus kudoksen soluista,Ts-Riktad trisomi- och mikrodeletionsundersökning av celler i vävnad,Lomake,2014003660,NA
6227,LABfi,s-leuabco,S-LeuAbCO,"S-Leukosyyttivasta-aineet, sytotoksiset, seulonta","S -Antikroppar mot leukocyter, cytotoxiska, screening",Lomake,2014003661,NA
6228,LABfi,s-leuxcdc,S -LeuXCDC,"S -Leukosyyttien sopivuuskoe, sytotoksiset vasta-aineet","S -Förenlighetstest för leukocyter, cytotoxiska antikroppar",Lomake,2014003662,NA
6229,LABfi,s-leuxfc,S-LeuXFc,"S-Leukosyyttien sopivuuskoe, IgG ja IgM, virtaussytometria","S -Förenlighetstest för leukocyter, IgG och IgM, flödescytometri",Lomake,2014003663,NA
6230,LABfi,s-leuabpr,S-LeuAbPR,"S- Leukosyyttivasta-aineet, paneelireaktiiviset, IgG","S -Antikroppar mot leukocyter, panelreaktiva, IgG",Lomake,2014003664,NA
6231,LABfi,s-leuabi,S -LeuAbI,"S -Leukosyyttivasta-aineet, luokka I, IgG, tunnistus","S -Antikroppar mot leukocyter, klass I, IgG, identifiering",Lomake,2014003665,NA
6232,LABfi,s-leuabii,S -LeuAbII,"S -Leukosyyttivasta-aineet, luokka II, IgG, tunnistus","S -Antikroppar mot leukocyter, klass II, IgG, identifiering",Lomake,2014003666,NA
6233,LABfi,b-sferos,B -Sferos,B -Perinnöllisen sferosytoosin osoitus,B -Påvisande av hereditär sfärocytos,Lomake,2014003667,NA
6234,LABfi,s-hepfu,S-HepFu,"S-Hepariinitrombosytopeniatutkimus, funktionaalinen","S -Undersökning av heparininducerad trombocytopeni, funktionell",Lomake,2014003668,NA
6235,LABfi,p-dabi-ta,P-Dabi-Ta,"P-Dabigatraani, funktionaalinen konsentraatio (estovaikutus trombiiniaikaan)","P -Dabigatran, funktionell koncentration (inhibitoreffekt på trombintid)",ug/l,2014003669,43055459
6236,LABfi,li-lmark,Li-LMark,"Li-Immunofenotyypitys, veritauti","Li-Immunofenotypning, blodsjukdom",Lomake,2014003670,NA
6237,LABfi,af-lmark,Af-LMark,"Af-Immunofenotyypitys, veritauti","Af-Immunofenotypning, blodsjukdom",Lomake,2014003671,NA
6238,LABfi,e-pnhfc,E-PNHFc,"E-Immunofenotyypitys, PNH","E -Immunofenotypning, PNH",Lomake,2014003672,NA
6239,LABfi,l-pnhfc,L-PNHFc,"L-Immunofenotyypitys, PNH","L -Immunofenotypning, PNH",Lomake,2014003673,NA
6240,LABfi,bm-cd34-fc,Bm-CD34-Fc,"Bm-Immunofenotyypitys, kantasolut","Bm-Immunofenotypning, stamceller (CD34+)",Lomake,2014003674,NA
6241,LABfi,la-cd34-fc,La-CD34-Fc,"La-Immunofenotyypitys, kantasolut","La-Immunofenotypning, stamceller (CD34+)",Lomake,2014003675,NA
6242,LABfi,b-protc-d,B-ProtC-D,"B-Proteiini C mutaatio W380G, DNA","B -Protein C mutation W380G, DNA",Lomake,2014003676,NA
6243,LABfi,am-protc-d,Am-ProtC-D,"Am-Proteiini C mutaatio W380G, DNA","Am-Protein C mutation W380G, DNA",Lomake,2014003677,NA
6244,LABfi,p-fviiire,P-FVIIIRe,"P-Hyytymistekijä VIII, rekombinantti","P -Koagulationsfaktor VIII, rekombinant",Lomake,2014003678,NA
6245,LABfi,b-ghb,B-GHB,B-Gammahydroksibutyraatti,B -Gammahydroxibutyrat,Lomake,2014003679,NA
6246,LABfi,u-trisyct,U -TrisyCt,"U -Trisykliset antidepressantit, varmistus","U -Tricykliskt antidepressivum, bekräftelse",Lomake,2014003680,NA
6247,LABfi,b-trisy,B-Trisy,B-Trisykliset antidepressantit,B -Tricykliskt antidepressivum,Lomake,2014003681,NA
6248,LABfi,b-opiaa,B-Opiaa,B-Opiaatit,B -Opiater,Lomake,2014003682,NA
6249,LABfi,b-koka,B-Koka,B-Kokaiini,B -Kokain,Lomake,2014003683,NA
6250,LABfi,b-canna,B-Canna,B-Kannabis,B -Cannabis,Lomake,2014003684,NA
6251,LABfi,b-bendi,B-Bendi,B-Bentsodiatsepiinit,B -Benzodiazepiner,Lomake,2014003685,NA
6252,LABfi,b-amfet,B-Amfet,S-Amfetamiini,S -Amfetamin,Lomake,2014003686,NA
6253,LABfi,b-huum-o,B-Huum-O,B-Huumeseulonta (kval),B -Drogscreening (kval),Lomake,2014003687,NA
6254,LABfi,b-rh-fd,B-RH-fD,"B-Sikiön RH-genotyypitys, DNA-tutkimus, äidin näyte","B -Rh-genotypning av foster, DNA-undersökning, prov från modern",Lomake,2014003688,NA
6255,LABfi,p-laaptct,P -LAaPTCt,"P -Lupusantikoagulantti, aPTT, varmistus","P -Lupusantikoagulant, aPTT, bekräftelse",Lomake,2014003689,NA
6256,LABfi,p-larvvct,P -LARVVCt,"P -Lupusantikoagulantti, dRVVT, varmistus","P -Lupusantikoagulant, dRVVT, bekräftelse",Lomake,2014003690,NA
6257,LABfi,s-hepab,S-HepAb,"S-Hepariinitrombosytopeniatutkimus, immunologinen","S -Undersökning av heparininducerad trombocytopeni, immunologisk",Lomake,2014003691,NA
6258,LABfi,b-smb-fc,B -smB-Fc,"B -Immunofenotyypitys, B-muistisolut","B -Immunofenotypning, B-minnesceller",Lomake,2014003692,NA
6259,LABfi,b-vrisägr,B-VRisäGr,"B-Veriryhmätutkimukset, isä","B -Blodgruppsundersökningar, fader",Lomake,2014003693,NA
6260,LABfi,u-iglck,U-IgLcK,"U-Immunoglobuliini, kevyet ketjut, Kappa","U -Immunoglobulin, lätta kedjor, Kappa",g/l,2014003694,3035082
6261,LABfi,u-iglcl,U-IgLcL,"U-Immunoglobuliini, kevyet ketjut, Lambda","U -Immunoglobulin, lätta kedjor, Lambda",g/l,2014003695,3006969
6262,LABfi,s-5hiaa,S-5HIAA,S-Hydroksi-indolyyliasetaatti (5-),S -Hydroxiindolylacetat (5-),nmol/l,2014003696,3030136
6263,LABfi,ts-ubiq10,Ts-UbiQ10,Ts-Ubikinoni,Ts-Ubikinon,nmol/g,2014003697,NA
6264,LABfi,s-moma,S-MOMA,S-Metoksihydroksimandelaatti,S -Metoxihydroximandelat,nmol/l,2014003698,NA
6265,LABfi,s-hva,S-HVA,S-Homovanillinaatti,S -Homovanillinat,nmol/l,2014003699,NA
6266,LABfi,p-afxariv,P -aFXaRiv,"P -Rivaroksabaani, estovaikutus hyytymistekijä Xa:han","P -Rivaroxaban, hämmande effekt på koagulationsfaktor Xa",µg/l,2014003700,43055458
6267,LABfi,sa-melat,Sa-Melat,Sa-Melatoniini,Sa-Melatonin,pg/ml,2014003701,NA
6268,LABfi,u-melat,U-Melat,U-Melatoniini,U-Melatonin,pg/ml,2014003702,NA
6269,LABfi,-rubenho,-RubeNhO,"-Vihurirokkovirus, nukleiinihappo (kval)","Rubellavirus, nukleinsyra (kval)",Lomake,2014003703,NA
6270,LABfi,s-morbnho,S-MorbNhO,"S-Tuhkarokkovirus, nukleiinihappo (kval)","S-Morbillivirus, nukleinsyra (kval)",Lomake,2014003704,NA
6271,LABfi,u-morbnho,U -MorbNhO,"U -Tuhkarokkovirus, nukleiinihappo (kval)","U -Morbillivirus, nukleinsyra (kval)",Lomake,2014003705,NA
6272,LABfi,-morbnho,-MorbNhO,"-Tuhkarokkovirus, nukleiinihappo (kval)","Morbillivirus, nukleinsyra (kval)",Lomake,2014003706,NA
6273,LABfi,-paronho,-ParoNhO,"-Sikotautivirus, nukleiinihappo (kval)","Parotitvirus, nukleinsyra (kval)",Lomake,2014003707,NA
6274,LABfi,ts-pad-pnb,Ts-PAD-PNB,Ts-Paksuneulabiopsian histologinen tutkimus,Ts-Histologisk undersökning av grovnålsbiopsi,Lomake,2014003708,NA
6275,LABfi,ts-pad4-hn,Ts-PAD4-Hn,"Ts-Pään ja kaulan alueen histologinen tutkimus, laaja leikkauspreparaatti","Ts-Histologisk undersökning av huvud- och halsregionen, omfattande operationspreparat",Lomake,2014003709,NA
6276,LABfi,pt-eeg-ud2,Pt-EEG-Ud2,"Pt-Elektroenkefalografia (EEG), unideprivaatio, vaativa","Pt-Elektroencefalografi (EEG), sömndeprivation, krävande",Lomake,2014003710,NA
6277,LABfi,pt-eeg-ud3,Pt-EEG-Ud3,"Pt-Elektroenkefalografia (EEG), unideprivaatio, erittäin vaativa","Pt-Elektroencefalografi (EEG), sömndeprivation, mycket krävande",Lomake,2014003711,NA
6278,LABfi,pt-eegmon4,Pt-EEGMon4 ,"Pt-Elektroenkefalografia (EEG) ja videomonitorointi, 3-4 tuntia, tavallinen","Pt-Elektroencefalografi (EEG) och videomonitorering, 3-4 timmar, vanlig",Lomake,2014003712,NA
6279,LABfi,pt-eegmon8,Pt-EEGMon8,"Pt-Elektroenkefalografia (EEG) ja videomonitorointi, 5-8 tuntia, vaativa","Pt-Elektroencefalografi (EEG) och videomonitorering, 5-8 timmar, krävande",Lomake,2014003713,NA
6280,LABfi,pt-eeg-2,Pt-EEG-2,"Pt-Elektroenkefalografia (EEG), vaativa","Pt-Elektroencefalografi (EEG), krävande",Lomake,2014003714,NA
6281,LABfi,pt-eeg-3,Pt-EEG-3,"Pt-Elektroenkefalografia (EEG), erittäin vaativa","Pt-Elektroencefalografi (EEG), mycket krävande",Lomake,2014003715,NA
6282,LABfi,pt-eeg-ai,Pt-EEG-Ai,"Pt-Elektroenkefalografia (EEG), amplitudi-integroitu","Pt-Elektroencefalografi (EEG), amplitudintegrerat",Lomake,2014003716,NA
6283,LABfi,pt-konsnh,Pt-KonsNH,"Pt-Neurofysiologinen konsultaatio, hoitajan tekemä","Pt-Neurofysiologisk konsultation, gjord av vårdare",Lomake,2014003717,NA
6284,LABfi,pt-enmgbo2,Pt-ENMGBo2,"Pt-Botuliinihoito elektromyografia (EMG) ohjauksessa, vaativa","Pt-Botulinbehandling med hjälp av elektromyografi (EMG), krävande",Lomake,2014003718,NA
6285,LABfi,pt-enmgbo3,Pt-ENMGBo3,"Pt-Botuliinihoito elektromyografia (EMG) ohjauksessa, erittäin vaativa","Pt-Botulinbehandling med hjälp av elektromyografi (EMG), mycket krävande",Lomake,2014003719,NA
6286,LABfi,pt-enmg-ik,Pt-ENMG-Ik,"Pt-Elektroneuromyografia (ENMG), ionikanavatautien tutkimus","Pt-Elektroneuromyografi (ENMG), undersökning av jonkanalsjukdomar",Lomake,2014003720,NA
6287,LABfi,pt-aktig-2,Pt-AKTIG-2,"Pt-Liikeaktiviteettirekisteröinti, aktigrafia, vaativa","Pt-Registrering av rörelseaktivitet, aktigrafi, krävande",Lomake,2014003721,NA
6288,LABfi,pt-psg-2,Pt-PSG-2,"Pt-Unipolygrafia unilaboratoriossa, vaativa","Pt-Sömnpolygrafi på sömnlaboratorium, krävande",Lomake,2014003722,NA
6289,LABfi,pt-erp,Pt-ERP,Pt-Tapahtumasidonnainen herätevastetutkimus,Pt-Undersökning av händelserelaterad potential (ERP),Lomake,2014003723,NA
6290,LABfi,pt-rtms,Pt-rTMS,Pt-Magneettistimulaatiohoito,Pt-Behandling med magnetstimulering,Lomake,2014003724,NA
6291,LABfi,pt-fvep,Pt-fVEP,Pt-Visuaalinen herätevaste (VEP) välkestimulaatiolla,"Pt-Visuella reaktionspotentialer (VEP), stimulering med blinkande ljus",Lomake,2014003725,NA
6292,LABfi,pt-iom-3,Pt-IOM-3,"Pt-Leikkauksenaikainen neurofysiologinen valvonta, erittäin vaativa","Pt-Neurofysiologisk övervakning under operation (IOM), mycket krävande",Lomake,2014003726,NA
6293,LABfi,pt-konsn-3,Pt-KonsN-3,"Pt-Lausunto neurofysiologisesta tutkimuksesta, erittäin vaativa","Pt-Utlåtande över neurofysiologisk undersökning, mycket krävande",Lomake,2014003727,NA
6294,LABfi,pt-chep-1,Pt-CHEP-1,"Pt-Terminen herätevastetutkimus, tavallinen                                                                                                                       ","Pt-Termiska reaktionspotentialer (CHEP), kontaktstimuleringsundersökning, vanlig",Lomake,2014003728,NA
6295,LABfi,pt-chep-2,Pt-CHEP-2,"Pt-Terminen herätevastetutkimus, laaja ","Pt-Termiska reaktionspotentialer (CHEP), kontaktstimuleringsundersökning, omfattande",Lomake,2014003729,NA
6296,LABfi,s-spnabnv,S -SpnAbNV,"S -Streptococcus pneumoniae, (2, 8, 10A, 11A, 12F, 15B, 17F, 20A ja 33F) IgG vasta-aineet","S -Streptococcus pneumoniae, ej konjugatvaccinsserotyper, antikroppar",Lomake,2014003730,NA
6297,LABfi,s-spnabvt,S -SpnAbVT,"S -Streptococcus pneumoniae, (1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F ja 23F) IgG vasta-aineet","S -Streptococcus pneumoniae, konjugatvaccinsserotyper, antikroppar",Lomake,2014003731,NA
6298,LABfi,s-dgpab,S -DGPAb,"S -Gliadiinipeptidit, deamidoidut, vasta-aineet","S -Gliadinpeptider, deamiderade, antikroppar",U/ml,2014003732,40766183 40766189
6299,LABfi,s-dgpabg,S -DGPAbG,"S -Gliadiinipeptidit, deamidoidut, IgG-vasta-aineet","S -Gliadinpeptider, deamiderade, IgG-antikroppar",U/ml,2014003733,40766189
6300,LABfi,s-dgpaba,S -DGPAbA,"S -Gliadiinipeptidit, deamidoidut, IgA-vasta-aineet","S -Gliadinpeptider, deamiderade, IgA-antikroppar",U/ml,2014003734,40766183
6301,LABfi,ts-padcns,Ts-PADCNS,"Ts-Keskushermoston histologinen tutkimus, kirurginen näyte","Ts-Histologisk undersökning av CNS, prov från kirurgi",Lomake,2014003735,NA
6302,LABfi,li-cnab,Li-CnAb,Li-Neuronaaliset vasta-aineet,Li-Neuronala antikroppar,Lomake,2014003736,3006804
6303,LABfi,s-cnab,S -CnAb,S -Neuronaaliset vasta-aineet,S -Neuronala antikroppar,Lomake,2014003737,3024869
6304,LABfi,pt-nnoex,Pt-nNOex,Pt-Nasaalinen typpidioksidimittaus,Pt-Nasal kväveoxidmätning,Lomake,2014003738,NA
6305,LABfi,pt-chep-1,Pt-CHEP-1,"Pt-Terminen herätevastetutkimus, tavallinen",,Lomake,2014003739,NA
6306,LABfi,pt-chep-2,Pt-CHEP-2,"Pt-Terminen herätevastetutkimus, vaativa",,Lomake,2014003740,NA
6307,LABfi,-trvanho,-TrvaNhO,"-Trichomonas vaginalis, nukleiinihappo (kval)","-Trichomonas vaginalis, nukleinsyra (kval)",Lomake,2014003741,NA
6308,LABfi,-trvaag,-TrvaAg,"-Trichomonas vaginalis, antigeeni","-Trichomonas vaginalis, antigen",Lomake,2014003742,NA
6310,LABfi,s-amh,S -AMH,S -Anti-Muller hormoni,S -Antimülleriskt hormon (AMH),ug/l,2014003743,NA
6311,LABfi,s-mta,S -MTA,S -Metoksityramiini (3-) seerumista,S -Metoxityramin (3-) från serum,nmol/l,2014003744,3030408
6312,LABfi,-hadunho,-HaduNhO,"-Haemophilus ducreyi, nukleiinihappo (kval)","-Haemophilus ducreyi, nukleinsyra (kval)",Lomake,2014003745,NA
6313,LABfi,-trpanho,-TrpaNhO,"-Treponema pallidum, nukleiinihappo (kval)","-Treponema pallidum, nukleinsyra (kval)",Lomake,2014003746,NA
6314,LABfi,-hepynho,-HepyNhO,"-Helicobacter pylori, nukleiinihappo (kval)","-Helicobacter pylori, nukleinsyra (kval)",Lomake,2014003747,NA
6315,LABfi,-mypnhe,-MypnHe,"-Mycoplasma pneumoniae, herkkyysmääritys","-Mycoplasma pneumoniae, sensitivitetsbestämning",Lomake,2014003748,NA
6316,LABfi,p-adennh,P -AdenNh,"P -Adenovirus, nukleiinihappo (kvant)","P -Adenovirus, nukleinsyra (kvant)",Lomake,2014003749,NA
6317,LABfi,s-hevnh,S -HEVNh,"S -Hepatiitti E-virus, nukleiinihappo (kvant)","S -Hepatit E-virus, nukleinsyra (kvant)",Lomake,2014003750,NA
6318,LABfi,p-jcvnh,P -JCVNh,"P -JC-virus, nukleiinihappo (kvant)","P -JC-virus, nukleinsyra (kvant)",Lomake,2014003751,3032185
6319,LABfi,li-jcvnh,Li-JCVNh,"Li-JC-virus, nukleiinihappo (kvant)","Li-JC-virus, nukleinsyra (kvant)",Lomake,2014003752,3032492
6320,LABfi,u-jcvnh,U -JCVNh,"U -JC-virus, nukleiinihappo (kvant)","U -JC-virus, nukleinsyra (kvant)",Lomake,2014003753,3032390
6321,LABfi,u-povnh,U -PoVNh,"U -Polyoomavirus, nukleiinihappo (kvant)","U -Polyomavirus, nukleinsyra (kvant)",Lomake,2014003754,NA
6322,LABfi,u-bkvnh,U -BKVNh,"U -BK-virus, nukleiinihappo (kvant)","U -BK-virus, nukleinsyra (kvant)",Lomake,2014003755,3034629
6323,LABfi,li-bkvnh,Li-BKVNh,"Li-BK-virus, nukleiinihappo (kvant)","Li-BK-virus, nukleinsyra (kvant)",Lomake,2014003756,3032995
6324,LABfi,-bkvnh,-BKVNh,"-BK-virus, nukleiinihappo (kvant)","-BK-virus, nukleinsyra (kvant)",Lomake,2014003757,3050099
6325,LABfi,s-parenho,S -PareNhO,"S -Parechovirus, nukleiinihappo (kval)","S -Parechovirus, nukleinsyra (kval)",Lomake,2014003758,NA
6326,LABfi,li-parenho,Li-PareNhO,"Li-Parechovirus, nukleiinihappo (kval)","Li-Parechovirus, nukleinsyra (kval)",Lomake,2014003759,NA
6327,LABfi,-parenho,-PareNhO,"-Parechovirus, nukleiinihappo (kval)","-Parechovirus, nukleinsyra (kval)",Lomake,2014003760,NA
6328,LABfi,li-evirnho,Li-EvirNhO,"Li-Enterovirus, nukleiinihappo (kval)","Li-Enterovirus, nukleinsyra (kval)",Lomake,2014003761,NA
6329,LABfi,s-jcvab,S -JCVAb,"S -JC-virus, vasta-aineet","S -JC-virus, antikroppar",Lomake,2014003762,42868647
6330,LABfi,nu-pbg,nU-PBG,"nU-Porfobilinogeeni, yövirtsasta (aamuvirtsasta)","nU-Porfobilinogen, natturin (morgonurin)",umol/l,2014003763,NA
6331,LABfi,nu-dala,nU-DALA,"nU-Delta-aminolevulinaatti, yövirtsasta (aamuvirtsasta)","nU-Delta-aminolevulinat, natturin (morgonurin)",umol/l,2014003764,NA
6332,LABfi,nu-porf,nU-Porf,"nU-Porfyriinit, yövirtsasta (aamuvirtsasta)","nU-Porfyriner, natturin (morgonurin)",nmol/l,2014003765,NA
6333,LABfi,mu-lakt-d,Mu-Lakt-D,"Mu-Laktoosi-intoleranssi, DNA-tutkimus","Mu-Laktosintolerans, DNA-undersökning",Lomake,2014003766,NA
6334,LABfi,p-vwf-akt,P -vWF-Akt,"P -von Willebrand -tekijä, aktiivisuus (GPIb sitoutuminen)","P -von Willebrand-faktorn, aktivitet (bindning till GPIb)",%,2014003767,40770918
6335,LABfi,b-hbf-fc,B -HbF-Fc,"B -Immunofenotyypitys, fetaalihemoglobiini","B -Immunfenotypning, fetalt hemoglobin",Lomake,2014003768,NA
6336,LABfi,fp-aldos,fP-Aldos,fP-Aldosteroni,fP-Aldosteron,pmol/l,2014003769,NA
6338,LABfi,fp-reninm,fP-Reninm,"fP-Reniini, konsentraatio","fP-Renin, koncentration",mU/l,2014003770,NA
6339,LABfi,p-reninm,P -Reninm,"P -Reniini, konsentraatio","P -Renin, koncentration",mU/l,2014003771,3011985
6341,LABfi,cb-tt-inr,cB-TT-INR,cB-Tromboplastiiniaika ihopistosnäytteestä,"cB-Tromboplastintid, provtagning från hudstick",Lomake,2014003772,NA
6342,LABfi,b-pnpla3,B -PNPLA3,"B -PNPLA3-geenin c.617C>G (I148M) variaatio, DNA-tutkimus verestä","B -Variation c.617C>G (I148M) i PNPLA3-genen, DNA-undersökning av blod",Lomake,2014003773,NA
6343,LABfi,b-varfa-d,B -Varfa-D,"B -Varfariinin yksilölliseen annostukseen liittyvät VKORC1- ja CYP2C9-geenivariaatiot, DNA-tutkimus verestä","B -Genvariationerna VKORC1 och CYP2C9 som påverkar den individuella doseringen av Warfarin, DNA-undersökning av blod",Lomake,2014003774,NA
6344,LABfi,b-slco1b1,B -SLCO1B1,"B -SLCO1B1-geenin c.512T>C variaatio, DNA-tutkimus verestä","B -Variation c.512T>C i SLCO1B1-genen, DNA-undersökning av blod",Lomake,2014003775,NA
6345,LABfi,b-cyp2d6,B -CYP2D6,"B -Sytokromi P450 2D6, CYP2D6-geenin variaatiot, DNA-tutkimus verestä","B -Cytokrom P450 2D6, CYP2D6-genens variationer, DNA-undersökning av blod",Lomake,2014003776,NA
6346,LABfi,b-cyp2c19,B -CYP2C19,"B -Sytokromi P450 2C19, CYP2C19-geenin alleelit *2 ja *17, DNA-tutkimus verestä","B -Cytokrom P450 2C19, CYP2C19-genens alleler *2 och *17, DNA-undersökning av blod",Lomake,2014003777,NA
6347,LABfi,p-afxafon,P -aFXaFon,"P -Fondaparinuksi, estovaikutus hyytymistekijä Xa:han","P -Fondaparinux, hämmande effekt på koagulationsfaktor Xa",Lomake,2014003778,NA
6348,LABfi,p-afxaapi,P -aFXaApi,"P -Apiksabaani, estovaikutus hyytymistekijä Xa:han","P -Apixaban, hämmande effekt på koagulationsfaktor Xa",Lomake,2014003779,43055442
6349,LABfi,bm-blastit,Bm-Blastit,Bm-Blastiosuus morfologisesti arvioituna luuytimestä,Bm-Andelen blaster i benmärg baserad på morfologisk bedömning,%,2014003780,3009992
6350,LABfi,bm-mrdpfc,Bm-MRDpFc,"Bm-Immunofenotyypitys, jäännöstautitutkimus, veritaudit","Bm-Immunfenotypning, MRD-undersökning, blodsjukdomar",%,2014003781,NA
6351,LABfi,b-mrdpfc,B -MRDpFc,"B -Immunofenotyypitys, jäännöstautitutkimus, veritaudit","B -Immunfenotypning, MRD-undersökning, blodsjukdomar",%,2014003782,NA
6352,LABfi,bm-mrdfc,Bm-MRDFc,"Bm-Immunofenotyypitys, jäännöstautitutkimus veritaudit (kval)","Bm-Immunfenotypning, MRD-undersökning, blodsjukdomar (kval)",Lomake,2014003783,NA
6353,LABfi,b-mrdfc,B -MRDFc,"B -Immunofenotyypitys, jäännöstautitutkimus veritaudit (kval)","B -Immunfenotypning, MRD-undersökning, blodsjukdomar (kval)",Lomake,2014003784,NA
6354,LABfi,pt-gfre,Pt-GFRe,"Pt-Glomerulussuodosnopeus, estimoitu ","Pt-Glomerulär filtrationshastighet, uppskattad",Lomake,2014003785,40764999
6355,LABfi,s-kopept,S -Kopept,S -Kopeptiini,S -Copeptin,pmol/l,2014003786,21491866
6356,LABfi,p-kopept,P -Kopept,P -Kopeptiini,P -Copeptin,pmol/l,2014003787,NA
6357,LABfi,b-vasohpk,B -VasOHPK,"B -Vastasyntyneiden seulonta, 17-OHP-kontrolli","B -Screening av nyfödda, kontroll av 17-OHP",Lausunto,2014003788,NA
6358,LABfi,sa-korsol,Sa-Korsol,Sa-Syljen kortisoli,Sa-Kortisol i saliv,nmol/l,2014003789,NA
6359,LABfi,pt-tdcs,Pt-tDCS,Pt-Aivojen tasavirtastimulaatiohoito,Pt-Behandling med transkraniell likströmsstimulering,Lomake,2014003790,NA
6360,LABfi,ts-egfr-d,Ts-EGFR-D,Ts-EGFR-geenin mutaatiotutkimus,"Ts-EGFR-genen, mutationsanalys",Lomake,2014003791,NA
6361,LABfi,ts-braf-d,Ts-BRAF-D,Ts-BRAF-geenin mutaatiotutkimus,"Ts-BRAF-genen, mutationsanalys",Lomake,2014003792,NA
